1,&,000-001,&,基隆端-基隆交,&,Keelung End-Keelung Interchange,&,KL End.-KL Int.,\\,KL End.-KL Int.(001),KL End.-KL Int.(000-001),,基隆端-基隆交(000-001)
2,&,001-002,&,基隆交-八堵交,&,Keelung Interchange-Badu Interchange,&,KL Int.-BD Int.,\\,KL Int.-BD Int.(002),KL Int.-BD Int.(001-002),,基隆交-八堵交(001-002)
3,&,002-003,&,八堵交-大華系統(出),&,Badu Interchange-Dahua Junction(out),&,BD Int.-DH Jun.(out),\\,BD Int.-DH Jun.(out)(003),BD Int.-DH Jun.(out)(002-003),,八堵交-大華系統(出)(002-003)
4,&,003-004,&,八堵交-大華系統,&,Badu Interchange-Dahua Junction,&,BD Int.-DH Jun.,\\,BD Int.-DH Jun.(004),BD Int.-DH Jun.(003-004),,八堵交-大華系統(003-004)
5,&,004-005,&,八堵交-大華系統(入),&,Badu Interchange-Dahua Junction(in),&,BD Int.-DH Jun.(in),\\,BD Int.-DH Jun.(in)(005),BD Int.-DH Jun.(in)(004-005),,八堵交-大華系統(入)(004-005)
6,&,005-006,&,大華系統-五堵交,&,Dahua Junction-Wudu Interchange,&,DH Jun.-WD Int.,\\,DH Jun.-WD Int.(006),DH Jun.-WD Int.(005-006),,大華系統-五堵交(005-006)
7,&,006-007,&,五堵交-汐止交(出),&,Wudu Interchange-Xizhi Interchange(out),&,WD Int.-XZ Int.(out),\\,WD Int.-XZ Int.(out)(007),WD Int.-XZ Int.(out)(006-007),,五堵交-汐止交(出)(006-007)
8,&,007-009,&,五堵交-汐止交,&,Wudu Interchange-Xizhi Interchange,&,WD Int.-XZ Int.,\\,WD Int.-XZ Int.(008),WD Int.-XZ Int.(007-009),,五堵交-汐止交(007-009)
9,&,009-010,&,五堵交-汐止交(入),&,Wudu Interchange-Xizhi Interchange(in),&,WD Int.-XZ Int.(in),\\,WD Int.-XZ Int.(in)(009),WD Int.-XZ Int.(in)(009-010),,五堵交-汐止交(入)(009-010)
10,&,010-011,&,汐止交-汐止系統,&,Xizhi Interchange-Xizhi Junction,&,XZ Int.-XZ Jun.,\\,XZ Int.-XZ Jun.(010),XZ Int.-XZ Jun.(010-011),,汐止交-汐止系統(010-011)
11,&,011-012,&,汐止系統-汐止高架(出),&,Xizhi Junction-Xizhi Viaduct(out),&,XZ Jun.-XZ Via.(out),\\,XZ Jun.-XZ Via.(out)(011),XZ Jun.-XZ Via.(out)(011-012),,汐止系統-汐止高架(出)(011-012)
12,&,012-013,&,汐止系統-汐止高架(入),&,Xizhi Junction-Xizhi Viaduct(in),&,XZ Jun.-XZ Via.(in),\\,XZ Jun.-XZ Via.(in)(012),XZ Jun.-XZ Via.(in)(012-013),,汐止系統-汐止高架(入)(012-013)
13,&,013-014,&,汐止高架-東湖交(出),&,Xizhi Viaduct-Donghu Interchange(out),&,XZ Via.-DHu Int.(out),\\,XZ Via.-DHu Int.(out)(013),XZ Via.-DHu Int.(out)(013-014),,汐止高架-東湖交(出)(013-014)
